Test_ID,Replicas,Interference,Given_RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P99_Latency,Max_Latency
1replicas_scenario0_100rps,1,Baseline0,100,95.6,613.27,454.0,814.0,1270.0,1990.0,2400.0
1replicas_scenario0_600rps,1,Baseline0,600,596.0,81.46,64.0,93.0,128.0,319.0,1550.0
1replicas_scenario0_1100rps,1,Baseline0,1100,1074.04,527.54,412.0,677.0,1060.0,1710.0,2720.0
1replicas_scenario0_1600rps,1,Baseline0,1600,1563.95,400.84,321.0,486.0,754.0,1520.0,3650.0
1replicas_scenario0_2100rps,1,Baseline0,2100,2093.68,86.96,76.0,100.0,132.0,229.0,3600.0
1replicas_scenario0_2600rps,1,Baseline0,2600,2592.56,77.37,66.0,83.0,112.0,238.0,2840.0
1replicas_scenario1_100rps,1,Baseline1,100,95.6,454.88,345.0,540.0,930.0,1710.0,2710.0
1replicas_scenario1_600rps,1,Baseline1,600,584.0,497.52,384.0,597.0,1040.0,1750.0,3680.0
1replicas_scenario1_1100rps,1,Baseline1,1100,1095.62,81.32,66.0,91.0,122.0,264.0,763.0
1replicas_scenario1_1600rps,1,Baseline1,1600,1594.49,71.02,63.0,74.0,94.0,220.0,3010.0
1replicas_scenario1_2100rps,1,Baseline1,2100,2054.0,410.15,316.0,508.0,842.0,1470.0,2530.0
1replicas_scenario1_2600rps,1,Baseline1,2600,2543.92,487.85,404.0,621.0,880.0,1630.0,4280.0
1replicas_scenario2_100rps,1,1_iBench_CPU_pod,100,96.02,132.18,62.0,95.0,163.0,2140.0,3810.0
1replicas_scenario2_600rps,1,1_iBench_CPU_pod,600,583.99,729.43,480.0,930.0,1500.0,3520.0,6170.0
1replicas_scenario2_1100rps,1,1_iBench_CPU_pod,1100,1095.62,118.24,67.0,96.0,151.0,1360.0,4420.0
1replicas_scenario2_1600rps,1,1_iBench_CPU_pod,1600,1564.02,970.0,821.0,1200.0,1770.0,3900.0,9860.0
1replicas_scenario2_2100rps,1,1_iBench_CPU_pod,2100,2054.0,703.68,501.0,870.0,1390.0,3300.0,7540.0
1replicas_scenario2_2600rps,1,1_iBench_CPU_pod,2600,2592.57,113.01,69.0,92.0,142.0,1430.0,4100.0
1replicas_scenario3_100rps,1,2_iBench_CPU_pods,100,96.02,181.21,64.0,106.0,190.0,3210.0,4910.0
1replicas_scenario3_600rps,1,2_iBench_CPU_pods,600,596.0,161.74,66.0,106.0,242.0,2450.0,4030.0000000000005
1replicas_scenario3_1100rps,1,2_iBench_CPU_pods,1100,1074.05,1160.0,817.0,1460.0,2610.0,5270.0,11120.0
1replicas_scenario3_1600rps,1,2_iBench_CPU_pods,1600,1594.5,190.79,93.0,139.0,253.0,2700.0,7400.0
1replicas_scenario3_2100rps,1,2_iBench_CPU_pods,2100,2054.05,980.0,705.0,1250.0,2080.0,3930.0,11050.0
1replicas_scenario3_2600rps,1,2_iBench_CPU_pods,2600,2543.93,847.18,602.0,1090.0,1760.0,3620.0,9850.0
1replicas_scenario4_100rps,1,4_iBench_CPU_pods,100,95.61,2490.0,2150.0,3790.0,4960.0,8910.0,11380.0
1replicas_scenario4_600rps,1,4_iBench_CPU_pods,600,595.99,372.64,81.0,168.0,1340.0,3410.0,9010.0
1replicas_scenario4_1100rps,1,4_iBench_CPU_pods,1100,1095.61,336.49,74.0,125.0,1200.0,3400.0,7110.0
1replicas_scenario4_1600rps,1,4_iBench_CPU_pods,1600,1564.09,1240.0,662.0,1680.0,3240.0,5530.0,17710.0
1replicas_scenario4_2100rps,1,4_iBench_CPU_pods,2100,2093.54,313.96,95.0,170.0,796.0,3320.0,9070.0
1replicas_scenario4_2600rps,1,4_iBench_CPU_pods,2600,2592.55,301.3,98.0,193.0,593.0,3390.0,8090.0
1replicas_scenario5_100rps,1,8_iBench_CPU_pods,100,95.61,5300.0,4810.0,7720.0,10150.0,14720.0,18290.0
1replicas_scenario5_600rps,1,8_iBench_CPU_pods,600,596.0,475.66,65.0,215.0,1870.0,3910.0,15770.0
1replicas_scenario5_1100rps,1,8_iBench_CPU_pods,1100,1095.58,554.44,70.0,177.0,1660.0,4050.0,140540.0
1replicas_scenario5_1600rps,1,8_iBench_CPU_pods,1600,1594.47,488.7,89.0,283.0,1720.0,4210.0,22000.0
1replicas_scenario5_2100rps,1,8_iBench_CPU_pods,2100,2093.65,1190.0,117.0,498.0,2240.0,5580.0,264960.0
1replicas_scenario5_2600rps,1,8_iBench_CPU_pods,2600,2592.56,1590.0,134.0,587.0,2200.0,7350.0,220670.0
1replicas_scenario6_100rps,1,1_stress-ng_l3_pod,100,96.02,107.43,84.0,109.0,159.0,375.0,2240.0
