Test_ID,Minute,RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Min_Latency,Errors
FinalTest,1,500,497.9788772083316,4.682,0.138,0.0,0.391,0.52,141.166,732.058,0.071,1
FinalTest,2,650,650.0214519321208,0.247,0.14,0.0,0.43,0.603,2.191,5.906,0.066,0
FinalTest,3,800,797.0740411159877,8.961,0.147,0.0,0.488,0.815,421.547,958.987,0.063,2
FinalTest,4,950,950.0021564890618,0.236,0.166,0.0,0.437,0.594,1.218,7.328,0.065,0
FinalTest,5,1100,1100.010799686029,0.242,0.18,0.0,0.435,0.564,1.052,10.946,0.054,0
FinalTest,6,1300,1295.9015027832236,2.64,0.138,0.0,0.398,0.593,5.684,494.272,0.06,1
FinalTest,7,1500,1500.0126723829221,0.147,0.115,0.0,0.217,0.28,0.604,6.952,0.052,0
FinalTest,8,1700,1692.2509857087891,23.462,0.135,0.0,0.421,1.007,1019.054,1566.022,0.059,1
FinalTest,9,1900,1900.0012483324867,0.326,0.22,0.0,0.573,0.85,2.129,15.125,0.054,0
FinalTest,10,2100,2091.1110119670707,6.31,0.215,0.0,0.714,1.209,316.016,699.243,0.052,1
FinalTest,11,2300,2290.2333105234816,7.215,0.135,0.0,0.488,1.153,360.45,1023.206,0.052,2
FinalTest,12,2500,2499.99180212591,0.299,0.141,0.0,0.539,0.979,2.649,44.649,0.049,0
FinalTest,13,2700,2685.8950697750997,3.049,0.152,0.0,0.65,1.412,32.688,480.772,0.046,1
FinalTest,14,2900,2900.0133552383454,0.213,0.141,0.0,0.301,0.465,1.692,28.122,0.044,0
FinalTest,15,3100,3083.4145090657585,3.99,0.149,0.0,0.45,0.892,107.557,514.845,0.049,1
FinalTest,16,3300,3300.007425126707,0.221,0.136,0.0,0.362,0.541,1.872,8.882,0.045,0
FinalTest,17,3500,3482.3725213611406,10.27,0.21,0.0,1.084,4.302,550.186,892.61,0.047,1
FinalTest,18,3700,3687.6063019802336,4.915,0.18,0.0,0.714,2.447,170.479,670.337,0.045,1
FinalTest,19,3900,3899.999712079227,0.467,0.167,0.0,0.488,0.952,4.6,106.567,0.048,0
FinalTest,20,4000,1220.0757533804199,8579.409,0.259,0.0,30357.698,30734.983,40020.596,58153.822,0.047,7
FinalTest,21,3800,3800.00009583751,0.524,0.178,0.0,0.481,1.202,5.337,128.806,0.046,0
FinalTest,22,3600,3580.644837955729,24.623,0.179,0.0,0.657,4.807,1076.994,1644.64,0.048,1
FinalTest,23,3400,3400.004475992559,0.198,0.143,0.0,0.317,0.444,1.057,12.779,0.045,0
FinalTest,24,3200,3186.4011649200006,11.551,0.148,0.0,0.389,1.259,676.34,1023.748,0.049,1
FinalTest,25,3000,2985.745196772835,35.977,0.164,0.0,0.633,13.644,1308.371,1869.057,0.042,1
FinalTest,26,2800,2800.010922587623,0.599,0.198,0.0,0.992,2.258,7.381,68.066,0.049,0
FinalTest,27,2600,2600.0068744774426,0.326,0.156,0.0,0.598,0.97,2.843,40.963,0.047,0
FinalTest,28,2400,2400.0141986920657,0.201,0.123,0.0,0.356,0.553,1.273,23.054,0.047,0
FinalTest,29,2200,2194.2928485957113,22.969,0.113,0.0,0.228,0.872,999.623,1421.99,0.049,1
FinalTest,30,2000,1994.6251147246312,10.697,0.091,0.0,0.125,0.151,536.437,1013.78,0.047,2
