Test_ID,Minute,RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Min_Latency,Errors
FinalTest,1,500,500.0154996887992,0.191,0.129,0.0,0.38,0.512,0.786,4.649,0.066,0
FinalTest,2,650,647.6652098085438,6.702,0.143,0.0,0.517,0.811,299.063,846.57,0.066,1
FinalTest,3,800,800.024235707523,0.255,0.145,0.0,0.504,0.759,1.918,7.764,0.069,0
FinalTest,4,950,950.0090361217815,0.208,0.149,0.0,0.39,0.506,0.841,5.681,0.063,0
FinalTest,5,1100,1099.9809021555434,0.208,0.146,0.0,0.363,0.474,1.097,5.961,0.056,1
FinalTest,6,1300,1299.9920166297115,0.262,0.15,0.0,0.421,0.74,2.582,11.654,0.055,0
FinalTest,7,1500,1500.0164776060058,0.262,0.13,0.0,0.516,0.86,2.249,12.937,0.057,0
FinalTest,8,1700,1700.0067636765536,0.26,0.153,0.0,0.5,0.739,1.611,11.449,0.06,0
FinalTest,9,1900,1889.057624797288,13.08,0.153,0.0,0.58,1.219,606.808,1068.722,0.052,1
FinalTest,10,2100,2100.0068619852154,0.237,0.157,0.0,0.439,0.615,1.286,12.628,0.055,0
FinalTest,11,2300,2299.9709534982258,0.18,0.129,0.0,0.284,0.42,1.08,7.092,0.051,1
FinalTest,12,2500,2500.0044545673313,0.213,0.139,0.0,0.316,0.446,1.65,19.525,0.05,0
FinalTest,13,2700,2700.0000479372593,0.235,0.161,0.0,0.363,0.476,1.161,41.904,0.05,0
FinalTest,14,2900,2900.0021045798603,0.422,0.208,0.0,0.601,0.993,3.829,79.678,0.049,0
FinalTest,15,3100,3100.0124562273213,0.282,0.165,0.0,0.463,0.682,2.06,50.143,0.048,0
FinalTest,16,3300,3300.010563572184,0.243,0.157,0.0,0.385,0.583,1.656,31.602,0.045,0
FinalTest,17,3500,3500.0064746178086,0.435,0.226,0.0,0.693,1.237,3.886,48.292,0.048,0
FinalTest,18,3700,3700.002216863009,0.298,0.185,0.0,0.399,0.64,2.514,41.494,0.047,0
FinalTest,19,3900,3900.0022666232976,0.245,0.176,0.0,0.344,0.495,1.719,31.342,0.044,0
FinalTest,20,4000,3999.9838070655533,0.435,0.193,0.0,0.372,0.602,3.787,144.106,0.049,0
FinalTest,21,3800,3784.4563182115066,16.384,0.177,0.0,0.537,2.696,842.135,1095.529,0.042,1
FinalTest,22,3600,3588.97153912172,12.128,0.23,0.0,1.249,4.959,673.779,945.871,0.048,1
FinalTest,23,3400,3400.004830304218,0.344,0.184,0.0,0.488,0.798,3.123,61.851,0.044,0
FinalTest,24,3200,3199.9248693540767,0.214,0.147,0.0,0.302,0.511,1.545,11.861,0.048,1
FinalTest,25,3000,3000.00340335162,0.622,0.185,0.0,0.566,0.973,7.386,154.025,0.045,0
FinalTest,26,2800,2800.009059275387,0.435,0.196,0.0,0.722,1.471,4.701,33.234,0.051,0
FinalTest,27,2600,2599.997216668471,0.29,0.155,0.0,0.57,0.952,2.105,14.632,0.051,0
FinalTest,28,2400,2389.652232983931,43.426,0.148,0.0,0.638,15.342,1506.862,2130.075,0.05,1
FinalTest,29,2200,2193.226522616026,8.455,0.111,0.0,0.22,0.432,398.936,888.842,0.052,1
FinalTest,30,2000,1994.2815909860617,7.464,0.096,0.0,0.168,0.266,381.322,941.675,0.048,1
