TestCaseID,Interference,Date,Container_ID,Container_Name,Avg_CPU_Usage,Avg_Memory_Usage,Avg_Disk_IO_Read,Avg_Disk_IO_Write,Avg_FS_Usage,Avg_Net_IO_In,Avg_Net_IO_Out,Avg_Processes
TC-VM-07,cmembw100,2025-04-14,0205185befff7ac438627fc14355ce2926f0f762048bc1846cc93e13b3617b82,socialnetwork_app_media-mongodb_1,0.004481089226616729,86481578.66666667,,,1052672.0,0.0,0.0,
TC-VM-07,cmembw100,2025-04-14,063fe4f75fba4a3a1afacddd1ca633a88a6dd898d7a833f0c3e44a48b42fbafd,socialnetwork_app_user-mongodb_1,0.4714494871045929,95204420.26666667,,,1585152.0,142491.35378463301,530108.370123522,
TC-VM-07,cmembw100,2025-04-14,0a6fd8f084a0218dd52f50fbf46e91ced84e691eab2b7093132192b9fc0fed4f,socialnetwork_app_unique-id-service_1,0.06881070114075384,2710732.8,,,114688.0,114492.65918015227,71116.30351660772,
TC-VM-07,cmembw100,2025-04-14,0f3c24833adc183e35730c0ccdf10f581d61f7951f6c777996d29b835ba1e90e,socialnetwork_app_post-storage-mongodb_1,0.17571187069846145,315749444.26666665,,,1172275.2,830325.4027795068,77126.02461321466,
TC-VM-07,cmembw100,2025-04-14,16ca4b7fe7d911364fc3031c9ce55931cdf62144268d6435cd4a7645b1149d5c,socialnetwork_app_post-storage-service_1,0.15603890234795584,5464883.2,,,176128.0,844325.428675323,1054758.8386840979,
TC-VM-07,cmembw100,2025-04-14,1dfab356a7106c9e4a5264f9dbd76cd89c13feb859c0b09e67e2083531310c46,socialnetwork_app_media-service_1,0.07150604272240434,11031347.2,,,106496.0,160778.80785010074,115531.11087895435,
TC-VM-07,cmembw100,2025-04-14,2631a562b09df48e6698476cf16b33371f7c7590a0ef6bc9f66024c13c668e16,socialnetwork_app_jaeger-agent_1,0.00022534866017310306,37035758.93333333,,,131072.0,340574.95806733886,2658.734669882536,
TC-VM-07,cmembw100,2025-04-14,3272857b5e69b8c780d8e053c675498c27effd7368258fe265cb468fe20dd240,socialnetwork_app_text-service_1,0.4452006137279109,6372283.733333333,,,221184.0,860552.5180551193,1056631.4617831972,
TC-VM-07,cmembw100,2025-04-14,3503bec99d50aedda4a1907a5592c1cf74b00bd47f941741b8bcfcc38f85b572,socialnetwork_app_url-shorten-mongodb_1,0.26224552170813864,448971025.06666666,,,1163264.0,388837.26777439436,57031.7471981056,
TC-VM-07,cmembw100,2025-04-14,3e3507058b4993727ce160029daab76a686f6804bcbe2566bc4b236691f5181b,socialnetwork_app_media-memcached_1,0.00014804291203403171,3450197.3333333335,,,40960.0,0.0,0.0,
TC-VM-07,cmembw100,2025-04-14,3e4a96e7af92c34556ee2deb93e1ef56b0c629f2be562fb80de99a5fa3722e8e,socialnetwork_app_user-timeline-mongodb_1,0.5075373353458785,402227473.06666666,,,1183744.0,206943.5804646599,19679784.842351954,
TC-VM-07,cmembw100,2025-04-14,622c9039f995db658e2082d66da19b4fee4f9c59d84fd79ef7d7b591a5bc1d93,socialnetwork_app_social-graph-redis_1,0.04046542346917233,18569898.666666668,,,69632.0,60442.777211703695,214797.6447935812,
TC-VM-07,cmembw100,2025-04-14,7028f4cde98319ad1ea9e0cb4a1a74873c1be011b233cba5e3a88653749a1256,socialnetwork_app_home-timeline-service_1,0.23210814827424803,10701209.6,,,235929.6,584773.5184214738,2355107.987883723,
TC-VM-07,cmembw100,2025-04-14,963ca4e699a98f69d06cec0ea3b340cc164a338cf76860a9d33ed19b3e70bb49,socialnetwork_app_url-shorten-service_1,0.21676740600753,3740194.1333333333,,,167936.0,342326.64676097094,781115.830129286,
TC-VM-07,cmembw100,2025-04-14,a4b604df6610218d74a92fbd474dc892307afb80b87817860a8b9869d5f40a59,socialnetwork_app_user-mention-service_1,0.3278568518518632,4849664.0,,,211353.6,1078125.0801822154,820530.5549546335,
TC-VM-07,cmembw100,2025-04-14,afd68e6501efcdd7813b11ba8a1d1d1c2414c8a179e7451bcfd22da70137ce92,socialnetwork_app_social-graph-mongodb_1,0.004657732850299855,91386675.2,,,1175552.0,24.12837093823834,48.89169900643033,
TC-VM-07,cmembw100,2025-04-14,b59bf7c5f142a031f5588db5025d3a859ed2655e13164bc71348ab9dab6f71f0,socialnetwork_app_user-service_1,0.062039945796732505,3576081.066666667,,,506265.6,127717.59552521013,78305.0378131547,
TC-VM-07,cmembw100,2025-04-14,bb78b9ee18d484971fae98a297ec9ea574d4725eb496fd3df7a9aff57dba9da9,socialnetwork_app_user-timeline-redis_1,0.04963827049915055,85304388.26666667,,,90112.0,77659.0664800339,36260.20673131142,
TC-VM-07,cmembw100,2025-04-14,bce7f1fd95d26de51af548469a0de774671ada63b2d3468cbfeca1058995d748,socialnetwork_app_social-graph-service_1,0.1082330569847157,4723234.133333334,,,188416.0,337151.9933264832,315683.64530107257,
TC-VM-07,cmembw100,2025-04-14,cf16b82e5585efba0056c0626f3b844897763e09fda05526a0e6025d8c0354aa,socialnetwork_app_media-frontend_1,0.0,22754918.4,,,126976.0,0.0,0.0,
TC-VM-07,cmembw100,2025-04-14,d3b4f2bfd120fb35a3fa94e8f2b050b7844d051581f6285aa161be71cae33dc5,socialnetwork_app_user-memcached_1,0.07938236987552359,1900544.0,,,40960.0,369084.88893193007,200502.4435854964,
TC-VM-07,cmembw100,2025-04-14,e0f137ea1ed0a9e34ec35c02bd5c096360011fa2f30ce405e3428f6dc53b1631,socialnetwork_app_nginx-thrift_1,0.4105563101242056,52264140.8,,,147456.0,816110.691959321,752690.6403516798,
TC-VM-07,cmembw100,2025-04-14,e830d8a242a6b384b1722153c08b58510bbbd0c619d040203a07541384f9f9ee,socialnetwork_app_user-timeline-service_1,0.2106182127139007,11973700.266666668,,,253952.0,21297436.28067131,408142.9630321766,
TC-VM-07,cmembw100,2025-04-14,eb111852bf8252fc8406b6c6eb512f271bfc3e0985e79b9fbca62f20d9c73ed3,socialnetwork_app_url-shorten-memcached_1,0.00014526515412710593,1506235.7333333334,,,40960.0,0.0,0.0,
TC-VM-07,cmembw100,2025-04-14,eb3206551e5d713823393780833b93d225feb7b2d051c725d1ec1556ffcf57dd,socialnetwork_app_compose-post-service_1,0.7218161203997085,14659037.866666667,,,260505.6,1450111.4886205147,1941212.5093198742,
TC-VM-07,cmembw100,2025-04-14,eeac02fe73908404bb807e3b42ac2c8ffee3036841330c9a4216ad385b019837,socialnetwork_app_post-storage-memcached_1,0.00015097258590609163,3126613.3333333335,,,40960.0,0.0,0.0,
TC-VM-07,cmembw100,2025-04-14,f418ba3c1f0b9efcfea42f8a0f1742e6f6e298bcb51aaf19832436a6a78e8043,socialnetwork_app_home-timeline-redis_1,0.5213379629585518,3672847701.3333335,,,94208.0,1928965.68733385,147585.63053995077,
