TestCaseID,Interference,Date,Timestamp,Container_ID,Container_Name,CPU_Usage,Memory_Usage,Disk_IO_Read,Disk_IO_Write,FS Usage,Net_IO_In,Net_IO_Out,Processes
TC-VM-07,cmembw100,2025-04-14,2025-04-14 15:48:12,0205185befff7ac438627fc14355ce2926f0f762048bc1846cc93e13b3617b82,socialnetwork_app_media-mongodb_1,0.004301101591186205,91107328.0,,,1052672.0,0.0,0.0,
TC-VM-07,cmembw100,2025-04-14,2025-04-14 15:48:17,0205185befff7ac438627fc14355ce2926f0f762048bc1846cc93e13b3617b82,socialnetwork_app_media-mongodb_1,0.003149236856983224,90845184.0,,,1052672.0,0.0,0.0,
TC-VM-07,cmembw100,2025-04-14,2025-04-14 15:48:22,0205185befff7ac438627fc14355ce2926f0f762048bc1846cc93e13b3617b82,socialnetwork_app_media-mongodb_1,0.0037004032258068954,90845184.0,,,1052672.0,0.0,0.0,
TC-VM-07,cmembw100,2025-04-14,2025-04-14 15:48:27,0205185befff7ac438627fc14355ce2926f0f762048bc1846cc93e13b3617b82,socialnetwork_app_media-mongodb_1,0.003584938704029808,90845184.0,,,1052672.0,0.0,0.0,
TC-VM-07,cmembw100,2025-04-14,2025-04-14 15:48:32,0205185befff7ac438627fc14355ce2926f0f762048bc1846cc93e13b3617b82,socialnetwork_app_media-mongodb_1,0.003584878744651115,90845184.0,,,1052672.0,0.0,0.0,
TC-VM-07,cmembw100,2025-04-14,2025-04-14 15:48:37,0205185befff7ac438627fc14355ce2926f0f762048bc1846cc93e13b3617b82,socialnetwork_app_media-mongodb_1,,90845184.0,,,1052672.0,,,
TC-VM-07,cmembw100,2025-04-14,2025-04-14 15:48:42,0205185befff7ac438627fc14355ce2926f0f762048bc1846cc93e13b3617b82,socialnetwork_app_media-mongodb_1,0.004128773875538894,89272320.0,,,1052672.0,0.0,0.0,
TC-VM-07,cmembw100,2025-04-14,2025-04-14 15:48:47,0205185befff7ac438627fc14355ce2926f0f762048bc1846cc93e13b3617b82,socialnetwork_app_media-mongodb_1,0.006665066666668432,89272320.0,,,1052672.0,0.0,0.0,
TC-VM-07,cmembw100,2025-04-14,2025-04-14 15:48:52,0205185befff7ac438627fc14355ce2926f0f762048bc1846cc93e13b3617b82,socialnetwork_app_media-mongodb_1,0.0040346866377607505,85078016.0,,,1052672.0,0.0,0.0,
TC-VM-07,cmembw100,2025-04-14,2025-04-14 15:48:57,0205185befff7ac438627fc14355ce2926f0f762048bc1846cc93e13b3617b82,socialnetwork_app_media-mongodb_1,0.00600702323068653,83779584.0,,,1052672.0,0.0,0.0,
