TestCaseID,Interference,Date,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P99_Latency,Max_Latency
TC-VM-07,baseline,2025-04-12,989.52,7230.0,5210.0,7800.0,12940.0,35780.0,105090.0
TC-VM-07,baseline,2025-04-12,995.12,12220.0,6940.0,11940.0,22820.0,97410.0,318720.0
TC-VM-07,cpu100,2025-04-12,987.26,124040.0,63200.0,149630.0,319490.0,799740.0,1720000.0
TC-VM-07,cpu100,2025-04-12,948.6,538360.0,87810.0,608770.0,1890000.0,4040000.0,6790000.0
