TestCaseID,Interference,Date,Timestamp,Container_ID,Container_Name,CPU_Usage,Memory_Usage,Disk_IO_Read,Disk_IO_Write,FS Usage,Net_IO_In,Net_IO_Out,Processes
TC-VM-07,cpu50,2025-04-14,2025-04-14 16:21:57,063fe4f75fba4a3a1afacddd1ca633a88a6dd898d7a833f0c3e44a48b42fbafd,socialnetwork_app_user-mongodb_1,0.7059214678899037,62046208.0,,,1601536.0,245593.3944954128,916388.256880734,
TC-VM-07,cpu50,2025-04-14,2025-04-14 16:22:02,063fe4f75fba4a3a1afacddd1ca633a88a6dd898d7a833f0c3e44a48b42fbafd,socialnetwork_app_user-mongodb_1,0.7253252385082344,60399616.0,,,1601536.0,251727.66695576755,939767.5628794448,
TC-VM-07,cpu50,2025-04-14,2025-04-14 16:22:07,063fe4f75fba4a3a1afacddd1ca633a88a6dd898d7a833f0c3e44a48b42fbafd,socialnetwork_app_user-mongodb_1,0.7116112872542758,57643008.0,,,1601536.0,244828.7888395688,916396.9562460368,
TC-VM-07,cpu50,2025-04-14,2025-04-14 16:22:12,063fe4f75fba4a3a1afacddd1ca633a88a6dd898d7a833f0c3e44a48b42fbafd,socialnetwork_app_user-mongodb_1,0.7341265094882113,56074240.0,,,1601536.0,255811.38585393905,955451.6963772282,
TC-VM-07,cpu50,2025-04-14,2025-04-14 16:22:17,063fe4f75fba4a3a1afacddd1ca633a88a6dd898d7a833f0c3e44a48b42fbafd,socialnetwork_app_user-mongodb_1,0.716363752393096,54484992.0,,,1601536.0,250048.50031908107,928246.3305679642,
TC-VM-07,cpu50,2025-04-14,2025-04-14 16:22:22,063fe4f75fba4a3a1afacddd1ca633a88a6dd898d7a833f0c3e44a48b42fbafd,socialnetwork_app_user-mongodb_1,0.6910973312401992,51851264.0,,,1601536.0,245136.0544217687,920698.0638409208,
TC-VM-07,cpu50,2025-04-14,2025-04-14 16:22:27,063fe4f75fba4a3a1afacddd1ca633a88a6dd898d7a833f0c3e44a48b42fbafd,socialnetwork_app_user-mongodb_1,0.687677419354848,48680960.0,,,1601536.0,241712.158808933,900878.41191067,
TC-VM-07,cpu50,2025-04-14,2025-04-14 16:22:32,063fe4f75fba4a3a1afacddd1ca633a88a6dd898d7a833f0c3e44a48b42fbafd,socialnetwork_app_user-mongodb_1,0.6878642564802185,44175360.0,,,1601536.0,238081.173260573,884778.3083219646,
TC-VM-07,cpu50,2025-04-14,2025-04-14 16:22:37,063fe4f75fba4a3a1afacddd1ca633a88a6dd898d7a833f0c3e44a48b42fbafd,socialnetwork_app_user-mongodb_1,0.7041896671289934,40882176.0,,,1601536.0,247517.33703190016,923847.4341192788,
TC-VM-07,cpu50,2025-04-14,2025-04-14 16:21:27,0a6fd8f084a0218dd52f50fbf46e91ced84e691eab2b7093132192b9fc0fed4f,socialnetwork_app_unique-id-service_1,0.0,2273280.0,,,118784.0,0.0,0.0,
TC-VM-07,cpu50,2025-04-14,2025-04-14 16:21:32,0a6fd8f084a0218dd52f50fbf46e91ced84e691eab2b7093132192b9fc0fed4f,socialnetwork_app_unique-id-service_1,,2273280.0,,,118784.0,,,
TC-VM-07,cpu50,2025-04-14,2025-04-14 16:21:37,0a6fd8f084a0218dd52f50fbf46e91ced84e691eab2b7093132192b9fc0fed4f,socialnetwork_app_unique-id-service_1,,2273280.0,,,118784.0,,,
TC-VM-07,cpu50,2025-04-14,2025-04-14 16:21:42,0a6fd8f084a0218dd52f50fbf46e91ced84e691eab2b7093132192b9fc0fed4f,socialnetwork_app_unique-id-service_1,0.0694095238095238,2486272.0,,,118784.0,166309.27318295735,91749.8746867168,
TC-VM-07,cpu50,2025-04-14,2025-04-14 16:21:47,0a6fd8f084a0218dd52f50fbf46e91ced84e691eab2b7093132192b9fc0fed4f,socialnetwork_app_unique-id-service_1,0.0704036770583532,2592768.0,,,118784.0,167340.52757793767,92250.99920063948,
TC-VM-07,cpu50,2025-04-14,2025-04-14 16:21:52,0a6fd8f084a0218dd52f50fbf46e91ced84e691eab2b7093132192b9fc0fed4f,socialnetwork_app_unique-id-service_1,0.0699879560750967,2383872.0,,,118784.0,168477.50619907898,116154.79985830675,
TC-VM-07,cpu50,2025-04-14,2025-04-14 16:21:57,0a6fd8f084a0218dd52f50fbf46e91ced84e691eab2b7093132192b9fc0fed4f,socialnetwork_app_unique-id-service_1,0.0730726525017143,2453504.0,,,118784.0,175973.95476353666,96993.1459904044,
TC-VM-07,cpu50,2025-04-14,2025-04-14 16:22:02,0a6fd8f084a0218dd52f50fbf46e91ced84e691eab2b7093132192b9fc0fed4f,socialnetwork_app_unique-id-service_1,0.0747265005662511,2453504.0,,,118784.0,179894.11098527745,136547.56511891278,
TC-VM-07,cpu50,2025-04-14,2025-04-14 16:22:07,0a6fd8f084a0218dd52f50fbf46e91ced84e691eab2b7093132192b9fc0fed4f,socialnetwork_app_unique-id-service_1,0.0756347826086971,2555904.0,,,118784.0,177760.8695652174,145728.9855072464,
TC-VM-07,cpu50,2025-04-14,2025-04-14 16:22:12,0a6fd8f084a0218dd52f50fbf46e91ced84e691eab2b7093132192b9fc0fed4f,socialnetwork_app_unique-id-service_1,0.0754689703808171,2244608.0,,,118784.0,182416.43159379408,123715.4442877292,
TC-VM-07,cpu50,2025-04-14,2025-04-14 16:22:17,0a6fd8f084a0218dd52f50fbf46e91ced84e691eab2b7093132192b9fc0fed4f,socialnetwork_app_unique-id-service_1,0.0731884384384391,2383872.0,,,118784.0,176155.40540540538,146712.46246246246,
TC-VM-07,cpu50,2025-04-14,2025-04-14 16:22:22,0a6fd8f084a0218dd52f50fbf46e91ced84e691eab2b7093132192b9fc0fed4f,socialnetwork_app_unique-id-service_1,0.0705415035238842,2412544.0,,,118784.0,175687.94048551293,122580.6577916993,
TC-VM-07,cpu50,2025-04-14,2025-04-14 16:22:27,0a6fd8f084a0218dd52f50fbf46e91ced84e691eab2b7093132192b9fc0fed4f,socialnetwork_app_unique-id-service_1,0.0714999999999995,2387968.0,,,118784.0,174468.24480369515,96088.91454965358,
TC-VM-07,cpu50,2025-04-14,2025-04-14 16:22:32,0a6fd8f084a0218dd52f50fbf46e91ced84e691eab2b7093132192b9fc0fed4f,socialnetwork_app_unique-id-service_1,0.0704990560100696,2383872.0,,,118784.0,171187.5393329138,94405.28634361232,
