Test_ID,Replicas,Interference_Name,Interference_ID,Given_RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Errors
1replicas_scenario133_2500rps,1,3_iBench_memBW_pods,133,2500,2499.9984532926237,0.204,0.187,0.0,0.289,0.325,0.426,5.111,0
1replicas_scenario134_2500rps,1,4_iBench_memBW_pods,134,2500,2500.000295279125,0.131,0.112,0.0,0.205,0.244,0.331,3.991,0
1replicas_scenario100_3500rps,1,BaselineB0,100,3500,3500.004705332374,0.098,0.088,0.0,0.132,0.154,0.251,3.428,0
1replicas_scenario111_3500rps,1,1_iBench_CPU_pod,111,3500,3500.002433998915,0.1,0.089,0.0,0.139,0.166,0.288,3.661,0
1replicas_scenario112_3500rps,1,2_iBench_CPU_pods,112,3500,3500.003647489678,0.103,0.09,0.0,0.147,0.181,0.309,3.561,0
1replicas_scenario113_3500rps,1,3_iBench_CPU_pods,113,3500,3500.0026297853096,0.216,0.194,0.0,0.302,0.344,0.529,4.209,0
1replicas_scenario114_3500rps,1,4_iBench_CPU_pods,114,3500,3500.0215593458024,0.162,0.147,0.0,0.268,0.31,0.435,7.274,0
1replicas_scenario121_3500rps,1,1_stress-ng_l3_pod,121,3500,3500.002263562243,0.12,0.108,0.0,0.173,0.2,0.29,3.361,0
1replicas_scenario122_3500rps,1,2_stress-ng_l3_pods,122,3500,3500.0042415007615,0.176,0.132,0.0,0.308,0.472,0.696,5.246,0
1replicas_scenario123_3500rps,1,3_stress-ng_l3_pods,123,3500,3500.0021895992895,0.356,0.276,0.0,0.63,0.787,1.522,21.362,0
1replicas_scenario124_3500rps,1,4_stress-ng_l3_pods,124,3500,3500.0053716497177,0.473,0.344,0.0,0.764,1.005,2.77,37.57,0
1replicas_scenario131_3500rps,1,1_iBench_memBW_pod,131,3500,3499.9894897593067,0.102,0.092,0.0,0.143,0.163,0.246,3.746,0
1replicas_scenario132_3500rps,1,2_iBench_memBW_pods,132,3500,3500.0077954254434,0.105,0.095,0.0,0.146,0.165,0.23,3.77,0
1replicas_scenario133_3500rps,1,3_iBench_memBW_pods,133,3500,3500.0019728514653,0.112,0.1,0.0,0.157,0.18,0.261,3.362,0
1replicas_scenario134_3500rps,1,4_iBench_memBW_pods,134,3500,3500.0029987045514,0.134,0.115,0.0,0.205,0.246,0.367,4.459,0
2replicas_scenario100_500rps,2,BaselineB0,100,500,500.00523464091344,0.087,0.084,0.0,0.1,0.109,0.155,3.347,0
2replicas_scenario111_500rps,2,1_iBench_CPU_pod,111,500,500.0053233400086,0.089,0.085,0.0,0.103,0.12,0.178,3.724,0
2replicas_scenario112_500rps,2,2_iBench_CPU_pods,112,500,500.0041640374559,0.091,0.085,0.0,0.107,0.134,0.181,2.923,0
2replicas_scenario113_500rps,2,3_iBench_CPU_pods,113,500,500.0038784745293,0.095,0.086,0.0,0.131,0.154,0.198,3.418,0
2replicas_scenario114_500rps,2,4_iBench_CPU_pods,114,500,500.0031995649187,0.093,0.086,0.0,0.12,0.149,0.19,2.615,0
2replicas_scenario121_500rps,2,1_stress-ng_l3_pod,121,500,500.00426459470657,0.113,0.108,0.0,0.147,0.166,0.235,3.847,0
