Test_ID,Replicas,Interference_Name,Interference_ID,Given_RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P99_Latency,Max_Latency
1replicas_scenario0_1500rps,1,Baseline0,0,1500,1471.7,416.87,331.0,549.0,798.0,1310.0,3170.0
1replicas_scenario1_1500rps,1,Baseline1,1,1500,1495.41,66.68,51.0,71.0,101.0,251.0,1260.0
1replicas_scenario2_1500rps,1,Baseline2,2,1500,1495.56,62.71,49.0,66.0,96.0,224.0,1540.0
1replicas_scenario3_1500rps,1,Baseline3,3,1500,1495.4,63.12,50.0,67.0,98.0,214.0,2090.0
1replicas_scenario4_1500rps,1,Baseline4,4,1500,1495.53,58.78,50.0,66.0,85.0,155.0,1680.0
1replicas_scenario5_1500rps,1,1_iBench_CPU_pod,5,1500,1495.55,82.9,51.0,68.0,89.0,1100.0,6040.0
1replicas_scenario6_1500rps,1,2_iBench_CPU_pods,6,1500,1495.55,139.97,61.0,94.0,166.0,2270.0,6240.0
1replicas_scenario7_1500rps,1,3_iBench_CPU_pods,7,1500,1495.51,145.71,61.0,93.0,159.0,2480.0,5740.0
1replicas_scenario8_1500rps,1,4_iBench_CPU_pods,8,1500,1495.43,220.71,89.0,135.0,270.0,2980.0,5860.0
1replicas_scenario9_1500rps,1,1_stress-ng_l3_pod,9,1500,1495.4,79.96,66.0,86.0,523.0,1258.0,2660.0
1replicas_scenario10_1500rps,1,2_stress-ng_l3_pods,10,1500,1471.74,1740.0,1650.0,2220.0,2830.0,4440.0,17450.0
1replicas_scenario11_1500rps,1,3_stress-ng_l3_pods,11,1500,1471.55,6580.0,5110.0,9510.0,14100.0,23580.0,46330.0
1replicas_scenario12_1500rps,1,4_stress-ng_l3_pods,12,1500,1471.57,7190.0,5470.0,9690.0,14940.0,30210.0,56830.0
1replicas_scenario13_1500rps,1,1_iBench_memBW_pod,13,1500,1471.84,398.89,364.0,495.0,663.0,980.0,3010.0
1replicas_scenario14_1500rps,1,2_iBench_memBW_pods,14,1500,1471.67,1170.0,1050.0,1610.0,2140.0,3230.0,5800.0
1replicas_scenario15_1500rps,1,3_iBench_memBW_pods,15,1500,1495.41,316.5,132.0,207.0,575.0,3020.0,15750.0
1replicas_scenario16_1500rps,1,4_iBench_memBW_pods,16,1500,1471.67,1760.0,1010.0,2710.0,4330.0,7380.0,12260.0
1replicas_scenario17_1500rps,1,1_CPU_1_L3,17,1500,1495.54,127.53,65.0,88.0,130.0,2300.0,4420.0
1replicas_scenario18_1500rps,1,1_CPU_1_MemBW,18,1500,1472.13,552.67,459.0,638.0,880.0,2710.0,7950.0
1replicas_scenario19_1500rps,1,2_CPU_2_L3,19,1500,1495.42,381.31,196.0,375.0,814.0,2940.0,7920.0
1replicas_scenario20_1500rps,1,1_CPU_1_L3_1_MemBW,20,1500,1495.54,260.55,129.0,224.0,409.0,2940.0,9340.0
