Test_ID,Replicas,Interference_Name,Interference_ID,Given_RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Errors
2replicas_scenario54_1500rps,2,2_CPU_1_MemBW,54,1500,1500.0014959014766,0.101,0.094,0.0,0.128,0.155,0.22,3.48,0
2replicas_scenario55_1500rps,2,1_CPU_2_L3,55,1500,1500.003784284547,0.221,0.144,0.0,0.498,0.57,0.716,3.516,0
2replicas_scenario56_1500rps,2,1_CPU_1_L3_1_MemBW,56,1500,1500.0042225368866,0.197,0.189,0.0,0.294,0.323,0.434,4.521,0
2replicas_scenario57_1500rps,2,2_CPU_1_L3,57,1500,1500.0041693517026,0.116,0.108,0.0,0.156,0.172,0.248,3.2,0
2replicas_scenario58_1500rps,2,1_L3_3_MemBW,58,1500,1500.0048334198952,0.196,0.188,0.0,0.3,0.352,0.516,4.015,0
2replicas_scenario51_2000rps,2,1_CPU_1_L3,51,2000,2000.002653488669,0.149,0.136,0.0,0.224,0.264,0.357,3.374,0
2replicas_scenario52_2000rps,2,1_CPU_1_MemBW,52,2000,2000.0041032642607,0.103,0.095,0.0,0.132,0.155,0.23,4.421,0
2replicas_scenario53_2000rps,2,1_CPU_2_MemBW,53,2000,1999.9989579420928,0.112,0.101,0.0,0.155,0.184,0.259,3.179,0
2replicas_scenario54_2000rps,2,2_CPU_1_MemBW,54,2000,2000.0032281141773,0.104,0.095,0.0,0.137,0.168,0.243,3.45,0
2replicas_scenario55_2000rps,2,1_CPU_2_L3,55,2000,1999.9995298210267,0.209,0.149,0.0,0.443,0.573,0.765,4.291,0
2replicas_scenario56_2000rps,2,1_CPU_1_L3_1_MemBW,56,2000,2000.0113417754287,0.142,0.124,0.0,0.228,0.284,0.382,4.116,0
2replicas_scenario57_2000rps,2,2_CPU_1_L3,57,2000,2000.004142797867,0.136,0.124,0.0,0.199,0.239,0.334,4.423,0
2replicas_scenario58_2000rps,2,1_L3_3_MemBW,58,2000,1999.999389287379,0.266,0.244,0.0,0.399,0.457,0.636,4.868,0
2replicas_scenario51_2500rps,2,1_CPU_1_L3,51,2500,2500.0133241960134,0.125,0.117,0.0,0.172,0.2,0.314,5.201,0
2replicas_scenario52_2500rps,2,1_CPU_1_MemBW,52,2500,2500.003158698585,0.101,0.096,0.0,0.127,0.143,0.208,3.093,0
2replicas_scenario53_2500rps,2,1_CPU_2_MemBW,53,2500,2500.001132283323,0.218,0.202,0.0,0.29,0.326,0.446,4.531,0
2replicas_scenario54_2500rps,2,2_CPU_1_MemBW,54,2500,2500.0023694744677,0.101,0.096,0.0,0.127,0.142,0.201,3.325,0
2replicas_scenario55_2500rps,2,1_CPU_2_L3,55,2500,2500.0004233760123,0.177,0.141,0.0,0.288,0.448,0.671,4.789,0
2replicas_scenario56_2500rps,2,1_CPU_1_L3_1_MemBW,56,2500,2500.0007077363116,0.146,0.125,0.0,0.236,0.295,0.427,3.329,0
2replicas_scenario57_2500rps,2,2_CPU_1_L3,57,2500,2500.001400604232,0.133,0.122,0.0,0.19,0.225,0.343,3.218,0
2replicas_scenario58_2500rps,2,1_L3_3_MemBW,58,2500,2500.001790810818,0.198,0.135,0.0,0.417,0.523,0.698,8.769,0
2replicas_scenario51_3000rps,2,1_CPU_1_L3,51,3000,3000.0039523034434,0.137,0.124,0.0,0.201,0.239,0.371,4.972,0
2replicas_scenario52_3000rps,2,1_CPU_1_MemBW,52,3000,3000.005025538001,0.108,0.096,0.0,0.148,0.181,0.292,2.962,0
2replicas_scenario53_3000rps,2,1_CPU_2_MemBW,53,3000,3000.003252586392,0.225,0.208,0.0,0.309,0.358,0.523,4.726,0
2replicas_scenario54_3000rps,2,2_CPU_1_MemBW,54,3000,3000.0038722533827,0.126,0.103,0.0,0.204,0.247,0.367,4.817,0
2replicas_scenario55_3000rps,2,1_CPU_2_L3,55,3000,3000.0025221354535,0.32,0.249,0.0,0.579,0.744,1.184,11.352,0
2replicas_scenario56_3000rps,2,1_CPU_1_L3_1_MemBW,56,3000,3000.0008968463735,0.138,0.124,0.0,0.204,0.248,0.376,4.027,0
2replicas_scenario57_3000rps,2,2_CPU_1_L3,57,3000,3000.002250519743,0.129,0.119,0.0,0.186,0.214,0.32,3.824,0
2replicas_scenario58_3000rps,2,1_L3_3_MemBW,58,3000,3000.0042621227217,0.191,0.151,0.0,0.331,0.409,0.641,5.662,0
