Test_ID,Replicas,Interference_Name,Interference_ID,Given_RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P99_Latency,Max_Latency
4replicas_scenario0_1500rps,4,Baseline0,0,1500,1495.56,58.25,50.0,58.0,79.0,183.0,1980.0
4replicas_scenario1_1500rps,4,Baseline1,1,1500,1495.54,56.57,53.0,60.0,73.0,107.0,1610.0
4replicas_scenario2_1500rps,4,Baseline2,2,1500,1471.69,596.0,550.0,789.0,1060.0,1570.0,2590.0
4replicas_scenario3_1500rps,4,Baseline3,3,1500,1495.54,56.51,51.0,59.0,73.0,136.0,2170.0
4replicas_scenario4_1500rps,4,Baseline4,4,1500,1471.71,769.38,698.0,1050.0,1380.0,2009.9999999999998,3530.0
4replicas_scenario5_1500rps,4,1_iBench_CPU_pod,5,1500,1471.69,647.09,550.0,860.0,1180.0,2040.0,4410.0
4replicas_scenario6_1500rps,4,2_iBench_CPU_pods,6,1500,1495.56,108.43,76.0,107.0,147.0,1150.0,5990.0
4replicas_scenario7_1500rps,4,3_iBench_CPU_pods,7,1500,1495.41,139.22,59.0,89.0,155.0,2180.0,5220.0
4replicas_scenario8_1500rps,4,4_iBench_CPU_pods,8,1500,1471.7,689.39,485.0,848.0,1420.0,3380.0,6570.0
4replicas_scenario9_1500rps,4,1_stress-ng_l3_pod,9,1500,1495.41,113.17,76.0,110.0,196.0,1571.0,3280.0
4replicas_scenario10_1500rps,4,2_stress-ng_l3_pods,10,1500,1471.66,1720.0,1190.0,2420.0,4010.0,6330.0,10130.0
4replicas_scenario11_1500rps,4,3_stress-ng_l3_pods,11,1500,1495.37,685.86,390.0,1000.0,1580.0,2880.0,24510.0
4replicas_scenario12_1500rps,4,4_stress-ng_l3_pods,12,1500,1471.65,2400.0,2070.0,3220.0,4660.0,8270.0,20010.0
4replicas_scenario13_1500rps,4,1_iBench_memBW_pod,13,1500,1471.81,563.15,512.0,730.0,950.0,1340.0,2370.0
4replicas_scenario14_1500rps,4,2_iBench_memBW_pods,14,1500,1495.53,182.38,134.0,218.0,348.0,935.0,5430.0
4replicas_scenario15_1500rps,4,3_iBench_memBW_pods,15,1500,1471.66,832.25,481.0,950.0,1900.0,4630.0,42010.0
4replicas_scenario16_1500rps,4,4_iBench_memBW_pods,16,1500,1471.64,1100.0,601.0,1360.0,2790.0,5900.0,12100.0
4replicas_scenario17_1500rps,4,1_CPU_1_L3,17,1500,1495.39,135.86,83.0,120.0,249.0,980.0,5280.0
4replicas_scenario18_1500rps,4,1_CPU_1_MemBW,18,1500,1495.56,111.77,72.0,93.0,138.0,1260.0,6440.0
4replicas_scenario19_1500rps,4,2_CPU_2_L3,19,1500,1495.39,441.15,288.0,512.0,870.0,2560.0,6550.0
4replicas_scenario20_1500rps,4,1_CPU_1_L3_1_MemBW,20,1500,1495.54,249.5,161.0,273.0,460.0,1560.0,8060.000000000001
