Test_ID,Replicas,Interference,Given_RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P99_Latency,Max_Latency
1replicas_scenario9_1000rps,1,1_stress-ng_l3_pod,1000,996.65,72.36,65.0,78.0,99.0,197.0,1390.0
1replicas_scenario9_1500rps,1,1_stress-ng_l3_pod,1500,1495.52,79.09,68.0,89.0,114.0,228.0,1830.0
1replicas_scenario9_2000rps,1,1_stress-ng_l3_pod,2000,1963.27,366.54,277.0,429.0,722.0,1360.0,2850.0
1replicas_scenario9_2500rps,1,1_stress-ng_l3_pod,2500,2454.98,568.24,463.0,732.0,1060.0,1780.0,3080.0
1replicas_scenario10_500rps,1,2_stress-ng_l3_pods,500,488.37,391.35,309.0,470.0,835.0,1300.0,5140.0
1replicas_scenario10_1000rps,1,2_stress-ng_l3_pods,1000,979.99,442.96,358.0,558.0,835.0,1540.0,3170.0
1replicas_scenario10_1500rps,1,2_stress-ng_l3_pods,1500,1471.66,363.52,294.0,466.0,712.0,1200.0,3800.0
1replicas_scenario10_2000rps,1,2_stress-ng_l3_pods,2000,1994.97,80.24,74.0,93.0,117.0,167.0,3030.0
1replicas_scenario10_2500rps,1,2_stress-ng_l3_pods,2500,2454.94,481.94,391.0,596.0,880.0,1580.0,3620.0
1replicas_scenario11_500rps,1,3_stress-ng_l3_pods,500,496.67,88.51,65.0,97.0,145.0,347.0,1080.0
1replicas_scenario11_1000rps,1,3_stress-ng_l3_pods,1000,996.65,75.96,66.0,81.0,104.0,240.0,1580.0
1replicas_scenario11_1500rps,1,3_stress-ng_l3_pods,1500,1495.55,78.55,65.0,84.0,112.0,259.0,2200.0
1replicas_scenario11_2000rps,1,3_stress-ng_l3_pods,2000,1963.29,538.45,455.0,671.0,980.0,1730.0,3730.0
1replicas_scenario11_2500rps,1,3_stress-ng_l3_pods,2500,2493.96,76.3,68.0,81.0,102.0,199.0,2030.0
1replicas_scenario12_500rps,1,4_stress-ng_l3_pods,500,488.37,405.25,295.0,486.0,920.0,1540.0,3350.0
1replicas_scenario12_1000rps,1,4_stress-ng_l3_pods,1000,996.66,86.01,66.0,89.0,120.0,438.0,1450.0
1replicas_scenario12_1500rps,1,4_stress-ng_l3_pods,1500,1495.38,84.99,67.0,93.0,131.0,295.0,2010.0
1replicas_scenario12_2000rps,1,4_stress-ng_l3_pods,2000,1994.96,84.98,78.0,96.0,124.0,217.0,2480.0
1replicas_scenario12_2500rps,1,4_stress-ng_l3_pods,2500,2493.94,77.82,68.0,81.0,105.0,232.0,3160.0
1replicas_scenario13_500rps,1,1_iBench_memBW_pod,500,488.38,555.3,442.0,789.0,1120.0,1510.0,2330.0
1replicas_scenario13_1000rps,1,1_iBench_memBW_pod,1000,996.65,75.58,66.0,85.0,106.0,211.0,2100.0
1replicas_scenario13_1500rps,1,1_iBench_memBW_pod,1500,1471.66,433.38,354.0,526.0,805.0,1450.0,2820.0
1replicas_scenario13_2000rps,1,1_iBench_memBW_pod,2000,1963.3,293.56,232.0,364.0,535.0,1070.0,4110.0
1replicas_scenario13_2500rps,1,1_iBench_memBW_pod,2500,2493.97,71.61,64.0,76.0,96.0,212.0,1770.0
1replicas_scenario14_500rps,1,2_iBench_memBW_pods,500,488.39,445.73,350.0,536.0,940.0,1550.0,3800.0
1replicas_scenario14_1000rps,1,2_iBench_memBW_pods,1000,996.65,76.7,65.0,82.0,106.0,245.0,1010.0
1replicas_scenario14_1500rps,1,2_iBench_memBW_pods,1500,1471.64,448.52,382.0,582.0,787.0,1450.0,2820.0
1replicas_scenario14_2000rps,1,2_iBench_memBW_pods,2000,1995.0,81.1,72.0,93.0,120.0,201.0,2200.0
1replicas_scenario14_2500rps,1,2_iBench_memBW_pods,2500,2493.96,80.85,64.0,80.0,132.0,303.0,1580.0
1replicas_scenario15_500rps,1,3_iBench_memBW_pods,500,488.37,348.23,268.0,423.0,712.0,1270.0,2250.0
1replicas_scenario15_1000rps,1,3_iBench_memBW_pods,1000,979.98,514.89,408.0,641.0,1030.0,1760.0,2770.0
1replicas_scenario15_1500rps,1,3_iBench_memBW_pods,1500,1471.68,360.87,276.0,419.0,724.0,1370.0,4040.0
1replicas_scenario15_2000rps,1,3_iBench_memBW_pods,2000,1963.29,378.21,309.0,463.0,708.0,1310.0,2840.0
1replicas_scenario15_2500rps,1,3_iBench_memBW_pods,2500,2493.96,78.06,66.0,80.0,111.0,264.0,2050.0
1replicas_scenario16_500rps,1,4_iBench_memBW_pods,500,488.38,502.53,386.0,624.0,1040.0,1810.0,2840.0
1replicas_scenario16_1000rps,1,4_iBench_memBW_pods,1000,996.64,81.01,65.0,81.0,110.0,311.0,2380.0
1replicas_scenario16_1500rps,1,4_iBench_memBW_pods,1500,1495.39,80.58,68.0,90.0,119.0,230.0,2570.0
1replicas_scenario16_2000rps,1,4_iBench_memBW_pods,2000,1963.31,466.3,384.0,582.0,870.0,1630.0,3300.0
1replicas_scenario16_2500rps,1,4_iBench_memBW_pods,2500,2455.02,506.23,413.0,646.0,960.0,1650.0,3410.0
2replicas_scenario0_500rps,2,Baseline0,500,496.67,71.92,60.0,74.0,105.0,226.0,556.0
2replicas_scenario0_1000rps,2,Baseline0,1000,996.66,70.94,65.0,73.0,92.0,169.0,1490.0
2replicas_scenario0_1500rps,2,Baseline0,1500,1495.57,76.6,67.0,80.0,104.0,225.0,1090.0
2replicas_scenario0_2000rps,2,Baseline0,2000,1963.32,791.75,658.0,1110.0,1410.0,2210.0,3470.0
2replicas_scenario0_2500rps,2,Baseline0,2500,2493.98,77.63,68.0,86.0,112.0,196.0,2620.0
2replicas_scenario1_500rps,2,Baseline1,500,488.46,674.35,537.0,960.0,1360.0,2100.0,3370.0
2replicas_scenario1_1000rps,2,Baseline1,1000,996.65,70.41,66.0,75.0,91.0,141.0,1830.0
2replicas_scenario1_1500rps,2,Baseline1,1500,1495.47,75.95,66.0,78.0,107.0,226.0,2240.0
2replicas_scenario1_2000rps,2,Baseline1,2000,1994.98,75.99,69.0,85.0,106.0,154.0,1860.0
2replicas_scenario1_2500rps,2,Baseline1,2500,2493.98,77.53,68.0,86.0,115.0,189.0,2590.0
2replicas_scenario2_500rps,2,Baseline2,500,488.39,648.18,506.0,900.0,1300.0,2080.0,3220.0
2replicas_scenario2_1000rps,2,Baseline2,1000,996.64,70.16,65.0,75.0,95.0,163.0,2140.0
2replicas_scenario2_1500rps,2,Baseline2,1500,1471.68,730.8,650.0,1010.0,1320.0,2100.0,3260.0
2replicas_scenario2_2000rps,2,Baseline2,2000,1963.33,653.8,556.0,890.0,1230.0,2080.0,3180.0
2replicas_scenario2_2500rps,2,Baseline2,2500,2493.94,78.95,73.0,90.0,108.0,149.0,1500.0
2replicas_scenario3_500rps,2,Baseline3,500,488.62,850.0,787.0,1150.0,1600.0,2240.0,5640.0
2replicas_scenario3_1000rps,2,Baseline3,1000,980.0,359.84,280.0,435.0,702.0,1290.0,2570.0
2replicas_scenario3_1500rps,2,Baseline3,1500,1471.7,555.22,459.0,709.0,1020.0,1800.0,3390.0
2replicas_scenario3_2000rps,2,Baseline3,2000,1963.36,641.59,543.0,818.0,1230.0,1990.0,4560.0
2replicas_scenario3_2500rps,2,Baseline3,2500,2455.01,477.07,387.0,623.0,849.0,1670.0,3450.0
2replicas_scenario4_500rps,2,Baseline4,500,488.39,538.62,390.0,720.0,1130.0,1980.0,3240.0
