Test_ID,Replicas,Interference,Given_RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P99_Latency,Max_Latency
1replicas_scenario0_100rps,1,Baseline0,100,94.51,534.0,429.0,671.0,1040.0,1730.0,2240.0
1replicas_scenario1_100rps,1,Baseline1,100,94.51,690.02,573.0,960.0,1260.0,2120.0,2970.0
1replicas_scenario2_100rps,1,1_iBench_CPU_pod,100,95.02,141.58,84.0,116.0,192.0,1980.0,3850.0
1replicas_scenario3_100rps,1,2_iBench_CPU_pods,100,94.51,816.23,588.0,1110.0,1720.0,3360.0,4100.0
1replicas_scenario4_100rps,1,4_iBench_CPU_pods,100,95.02,335.01,71.0,139.0,920.0,3790.0,5820.0
1replicas_scenario5_100rps,1,8_iBench_CPU_pods,100,95.02,459.48,60.0,237.0,1800.0,3790.0,10790.0
1replicas_scenario6_100rps,1,1_stress-ng_l3_pod,100,94.51,574.27,444.0,822.0,1110.0,1620.0,2300.0
1replicas_scenario7_100rps,1,2_stress-ng_l3_pods,100,94.52,402.11,316.0,444.0,717.0,2400.0,3150.0
1replicas_scenario8_100rps,1,4_stress-ng_l3_pods,100,95.02,107.34,80.0,111.0,161.0,391.0,3120.0
1replicas_scenario9_100rps,1,8_stress-ng_l3_pods,100,95.02,147.08,101.0,139.0,207.0,910.0,5340.0
1replicas_scenario10_100rps,1,1_iBench_memBW_pod,100,94.51,503.16,418.0,635.0,950.0,1370.0,3000.0
1replicas_scenario11_100rps,1,2_iBench_memBW_pods,100,94.5,847.36,634.0,1120.0,1740.0,3280.0,4690.0
1replicas_scenario12_100rps,1,4_iBench_memBW_pods,100,95.02,127.11,69.0,99.0,182.0,1560.0,3390.0
1replicas_scenario13_100rps,1,8_iBench_memBW_pods,100,95.04,432.42,123.0,267.0,1500.0,3310.0,5220.0
1replicas_scenario0_500rps,1,Baseline0,500,494.99,126.3,72.0,111.0,186.0,1500.0,4390.0
1replicas_scenario1_500rps,1,Baseline1,500,482.58,419.04,349.0,501.0,844.0,1280.0,2050.0
1replicas_scenario2_500rps,1,1_iBench_CPU_pod,500,482.61,619.88,515.0,880.0,1190.0,1720.0,2510.0
1replicas_scenario3_500rps,1,2_iBench_CPU_pods,500,482.59,744.1,434.0,930.0,1590.0,4170.0,6100.0
1replicas_scenario4_500rps,1,4_iBench_CPU_pods,500,495.01,312.16,65.0,130.0,940.0,3360.0,6790.0
1replicas_scenario5_500rps,1,8_iBench_CPU_pods,500,482.55,4670.0,4170.0,6620.0,9050.0,15550.0,25790.0
1replicas_scenario6_500rps,1,1_stress-ng_l3_pod,500,482.56,662.34,511.0,920.0,1350.0,2060.0,2700.0
1replicas_scenario7_500rps,1,2_stress-ng_l3_pods,500,482.7,526.85,408.0,669.0,1050.0,1930.0,3540.0
1replicas_scenario8_500rps,1,4_stress-ng_l3_pods,500,482.6,520.02,433.0,641.0,970.0,1590.0,4150.0
1replicas_scenario9_500rps,1,8_stress-ng_l3_pods,500,482.56,1180.0,715.0,1420.0,2740.0,6470.0,15290.0
1replicas_scenario10_500rps,1,1_iBench_memBW_pod,500,495.0,77.87,61.0,90.0,115.0,271.0,1240.0
1replicas_scenario11_500rps,1,2_iBench_memBW_pods,500,482.6,503.96,417.0,627.0,990.0,1620.0,2550.0
1replicas_scenario12_500rps,1,4_iBench_memBW_pods,500,482.69,471.37,405.0,602.0,825.0,1300.0,1970.0
1replicas_scenario13_500rps,1,8_iBench_memBW_pods,500,494.99,421.54,128.0,255.0,1500.0,3170.0,7000.0
1replicas_scenario0_900rps,1,Baseline0,900,872.58,910.0,584.0,1180.0,2029.9999999999998,4150.0,6740.0
1replicas_scenario1_900rps,1,Baseline1,900,872.56,469.87,365.0,597.0,1010.0,1460.0,3880.0
1replicas_scenario2_900rps,1,1_iBench_CPU_pod,900,872.93,732.52,457.0,900.0,1560.0,3810.0,10450.0
1replicas_scenario3_900rps,1,2_iBench_CPU_pods,900,894.99,170.97,64.0,101.0,197.0,2570.0,6540.0
1replicas_scenario4_900rps,1,4_iBench_CPU_pods,900,894.99,347.09,63.0,123.0,1300.0,3440.0,7300.0
1replicas_scenario5_900rps,1,8_iBench_CPU_pods,900,872.56,3950.0,3490.0,5660.0,7780.0,12970.0,18750.0
1replicas_scenario6_900rps,1,1_stress-ng_l3_pod,900,872.53,455.64,357.0,553.0,910.0,1780.0,3080.0
1replicas_scenario7_900rps,1,2_stress-ng_l3_pods,900,872.65,697.03,525.0,910.0,1390.0,2750.0,4260.0
1replicas_scenario8_900rps,1,4_stress-ng_l3_pods,900,895.0,102.3,85.0,118.0,160.0,310.0,3470.0
1replicas_scenario9_900rps,1,8_stress-ng_l3_pods,900,894.99,201.78,112.0,166.0,311.0,2470.0,6430.0
1replicas_scenario10_900rps,1,1_iBench_memBW_pod,900,894.97,85.96,63.0,93.0,142.0,365.0,2200.0
1replicas_scenario11_900rps,1,2_iBench_memBW_pods,900,894.98,78.38,64.0,89.0,119.0,258.0,2420.0
1replicas_scenario12_900rps,1,4_iBench_memBW_pods,900,894.98,204.56,87.0,136.0,314.0,2620.0,5050.0
1replicas_scenario13_900rps,1,8_iBench_memBW_pods,900,872.54,1320.0,793.0,1840.0,3180.0,5930.0,10510.0
1replicas_scenario0_1300rps,1,Baseline0,1300,1293.81,119.68,67.0,86.0,146.0,1610.0,4710.0
1replicas_scenario1_1300rps,1,Baseline1,1300,1262.56,500.29,395.0,644.0,960.0,1590.0,4360.0
1replicas_scenario2_1300rps,1,1_iBench_CPU_pod,1300,1262.7,657.25,431.0,828.0,1350.0,3470.0,5380.0
1replicas_scenario3_1300rps,1,2_iBench_CPU_pods,1300,1262.51,910.0,693.0,1150.0,1790.0,3600.0,10770.0
1replicas_scenario4_1300rps,1,4_iBench_CPU_pods,1300,1262.78,1090.0,661.0,1410.0,2600.0,4670.0,7360.0
1replicas_scenario5_1300rps,1,8_iBench_CPU_pods,1300,1262.55,2650.0,2210.0,4120.0,5670.0,8670.0,15580.0
1replicas_scenario6_1300rps,1,1_stress-ng_l3_pod,1300,1262.58,719.04,597.0,970.0,1350.0,2160.0,3750.0
1replicas_scenario7_1300rps,1,2_stress-ng_l3_pods,1300,1293.81,108.75,83.0,113.0,176.0,498.0,2440.0
1replicas_scenario8_1300rps,1,4_stress-ng_l3_pods,1300,1293.82,120.48,96.0,130.0,178.0,420.0,3840.0
1replicas_scenario9_1300rps,1,8_stress-ng_l3_pods,1300,1262.66,900.0,595.0,1040.0,1920.0,4470.0,8680.0
1replicas_scenario10_1300rps,1,1_iBench_memBW_pod,1300,1262.54,544.74,443.0,709.0,1010.0,1770.0,3000.0
1replicas_scenario11_1300rps,1,2_iBench_memBW_pods,1300,1262.57,693.62,545.0,900.0,1350.0,2290.0,7970.0
1replicas_scenario12_1300rps,1,4_iBench_memBW_pods,1300,1293.83,96.33,79.0,102.0,142.0,335.0,3270.0
1replicas_scenario13_1300rps,1,8_iBench_memBW_pods,1300,1262.57,1410.0,789.0,2029.9999999999998,3480.0,6100.0,9120.0
1replicas_scenario0_1700rps,1,Baseline0,1700,1692.93,101.36,64.0,78.0,114.0,1310.0,6660.0
1replicas_scenario1_1700rps,1,Baseline1,1700,1652.49,389.06,327.0,493.0,746.0,1200.0,2310.0
1replicas_scenario2_1700rps,1,1_iBench_CPU_pod,1700,1652.55,666.86,480.0,821.0,1280.0,3250.0,6850.0
1replicas_scenario3_1700rps,1,2_iBench_CPU_pods,1700,1652.56,776.98,539.0,950.0,1600.0,3840.0,9900.0
1replicas_scenario4_1700rps,1,4_iBench_CPU_pods,1700,1692.93,290.68,85.0,179.0,628.0,3220.0,6910.0
1replicas_scenario5_1700rps,1,8_iBench_CPU_pods,1700,1692.92,451.07,96.0,222.0,1600.0,3890.0,13320.0
1replicas_scenario6_1700rps,1,1_stress-ng_l3_pod,1700,1652.53,416.56,339.0,556.0,767.0,1560.0,3190.0
1replicas_scenario7_1700rps,1,2_stress-ng_l3_pods,1700,1652.54,719.45,598.0,910.0,1320.0,2380.0,3680.0
1replicas_scenario8_1700rps,1,4_stress-ng_l3_pods,1700,1692.91,117.96,91.0,122.0,174.0,494.0,3360.0
1replicas_scenario9_1700rps,1,8_stress-ng_l3_pods,1700,1692.91,188.27,118.0,171.0,300.0,1750.0,7290.0
1replicas_scenario10_1700rps,1,1_iBench_memBW_pod,1700,1692.95,70.59,64.0,77.0,96.0,157.0,1740.0
1replicas_scenario11_1700rps,1,2_iBench_memBW_pods,1700,1652.56,337.68,266.0,390.0,608.0,1330.0,4480.0
1replicas_scenario12_1700rps,1,4_iBench_memBW_pods,1700,1692.93,153.07,86.0,121.0,191.0,2000.0,5730.0
1replicas_scenario13_1700rps,1,8_iBench_memBW_pods,1700,1692.82,342.33,124.0,229.0,850.0,3130.0,7060.0
1replicas_scenario0_2100rps,1,Baseline0,2100,2042.51,487.99,328.0,595.0,970.0,2640.0,8060.000000000001
1replicas_scenario1_2100rps,1,Baseline1,2100,2042.49,449.52,375.0,573.0,806.0,1530.0,2780.0
1replicas_scenario2_2100rps,1,1_iBench_CPU_pod,2100,2092.09,120.93,88.0,119.0,171.0,708.0,3770.0
1replicas_scenario3_2100rps,1,2_iBench_CPU_pods,2100,2091.96,196.99,102.0,158.0,278.0,2550.0,6910.0
1replicas_scenario4_2100rps,1,4_iBench_CPU_pods,2100,2092.01,330.0,97.0,162.0,880.0,3560.0,7550.0
1replicas_scenario5_2100rps,1,8_iBench_CPU_pods,2100,2092.06,529.18,109.0,291.0,1830.0,4380.0,24460.0
1replicas_scenario6_2100rps,1,1_stress-ng_l3_pod,2100,2042.55,622.76,534.0,768.0,1150.0,1980.0,4550.0
1replicas_scenario7_2100rps,1,2_stress-ng_l3_pods,2100,2042.53,450.73,369.0,534.0,820.0,1600.0,4640.0
