Test_ID,Replicas,Interference_Name,Interference_ID,Given_RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P99_Latency,Max_Latency
3replicas_scenario0_1500rps,3,Baseline0,0,1500,1495.53,57.93,51.0,63.0,81.0,136.0,1810.0
3replicas_scenario1_1500rps,3,Baseline1,1,1500,1471.83,621.93,550.0,848.0,1120.0,1750.0,2650.0
3replicas_scenario2_1500rps,3,Baseline2,2,1500,1471.68,527.9,466.0,714.0,960.0,1500.0,2880.0
3replicas_scenario3_1500rps,3,Baseline3,3,1500,1495.4,61.22,51.0,66.0,90.0,177.0,1320.0
3replicas_scenario4_1500rps,3,Baseline4,4,1500,1495.39,64.99,52.0,70.0,101.0,206.0,1940.0
3replicas_scenario5_1500rps,3,1_iBench_CPU_pod,5,1500,1471.67,600.39,526.0,794.0,1070.0,1810.0,5860.0
3replicas_scenario6_1500rps,3,2_iBench_CPU_pods,6,1500,1471.75,713.03,631.0,960.0,1270.0,1930.0,4560.0
3replicas_scenario7_1500rps,3,3_iBench_CPU_pods,7,1500,1471.68,658.1,529.0,870.0,1250.0,2670.0,5750.0
3replicas_scenario8_1500rps,3,4_iBench_CPU_pods,8,1500,1495.55,167.1,63.0,109.0,201.0,2530.0,6570.0
3replicas_scenario9_1500rps,3,1_stress-ng_l3_pod,9,1500,1495.57,83.01,73.0,91.0,119.0,923.0,3270.0
3replicas_scenario10_1500rps,3,2_stress-ng_l3_pods,10,1500,1471.67,1890.0,1530.0,2630.0,3860.0,6020.0,9220.0
3replicas_scenario11_1500rps,3,3_stress-ng_l3_pods,11,1500,1471.64,1970.0,1710.0,2590.0,3730.0,6700.0,15060.0
3replicas_scenario12_1500rps,3,4_stress-ng_l3_pods,12,1500,1471.65,2740.0,2360.0,3700.0,5280.0,9460.0,20480.0
3replicas_scenario13_1500rps,3,1_iBench_memBW_pod,13,1500,1495.54,81.0,70.0,87.0,116.0,843.0,2380.0
3replicas_scenario14_1500rps,3,2_iBench_memBW_pods,14,1500,1471.67,1350.0,1130.0,2009.9999999999998,2860.0,4180.0,6670.0
3replicas_scenario15_1500rps,3,3_iBench_memBW_pods,15,1500,1471.67,799.17,488.0,940.0,1820.0,4340.0,7740.0
3replicas_scenario16_1500rps,3,4_iBench_memBW_pods,16,1500,1495.46,440.46,146.0,274.0,1340.0,4010.0,9910.0
3replicas_scenario17_1500rps,3,1_CPU_1_L3,17,1500,1471.69,765.11,641.0,990.0,1400.0,2830.0,6320.0
3replicas_scenario18_1500rps,3,1_CPU_1_MemBW,18,1500,1495.41,116.81,71.0,96.0,145.0,1280.0,6770.0
3replicas_scenario19_1500rps,3,2_CPU_2_L3,19,1500,1471.65,1960.0,1500.0,2530.0,4050.0,7490.0,11850.0
3replicas_scenario20_1500rps,3,1_CPU_1_L3_1_MemBW,20,1500,1495.39,292.15,158.0,290.0,584.0,2170.0,8340.0
