Test_ID,Replicas,Interference_Name,Interference_ID,Given_RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Errors
2replicas_scenario1_2500rps,2,Baseline1,1,2500,2500.0032805115948,0.091,0.087,0.0,0.112,0.123,0.158,3.137,0
2replicas_scenario0_3000rps,2,Baseline0,0,3000,3000.0043096895242,0.09,0.085,0.0,0.113,0.126,0.169,3.507,0
2replicas_scenario1_3000rps,2,Baseline1,1,3000,3000.0026241522955,0.091,0.085,0.0,0.115,0.13,0.193,3.211,0
2replicas_scenario0_3500rps,2,Baseline0,0,3500,3500.005493663792,0.092,0.085,0.0,0.121,0.136,0.195,3.734,0
2replicas_scenario1_3500rps,2,Baseline1,1,3500,3500.004729093625,0.092,0.085,0.0,0.12,0.136,0.195,3.058,0
2replicas_scenario0_4000rps,2,Baseline0,0,4000,4000.016245043753,0.105,0.09,0.0,0.148,0.185,0.341,4.928,0
2replicas_scenario1_4000rps,2,Baseline1,1,4000,4000.022320102324,0.095,0.086,0.0,0.127,0.145,0.211,4.202,0
2replicas_scenario0_4500rps,2,Baseline0,0,4500,4500.004308803654,0.099,0.089,0.0,0.139,0.163,0.246,3.585,0
2replicas_scenario1_4500rps,2,Baseline1,1,4500,4500.00649558684,0.1,0.089,0.0,0.139,0.163,0.248,5.214,0
2replicas_scenario0_5000rps,2,Baseline0,0,5000,5000.002455731614,0.094,0.084,0.0,0.13,0.152,0.271,4.958,0
2replicas_scenario1_5000rps,2,Baseline1,1,5000,4999.975910286775,0.096,0.085,0.0,0.131,0.153,0.28,4.937,0
2replicas_scenario0_5500rps,2,Baseline0,0,5500,5500.006897710016,0.1,0.087,0.0,0.141,0.162,0.315,4.956,0
2replicas_scenario1_5500rps,2,Baseline1,1,5500,5499.980852183329,0.1,0.087,0.0,0.143,0.168,0.313,3.207,0
2replicas_scenario0_6000rps,2,Baseline0,0,6000,5999.993509691716,0.103,0.088,0.0,0.148,0.178,0.36,5.745,0
2replicas_scenario1_6000rps,2,Baseline1,1,6000,5999.994423638516,0.102,0.088,0.0,0.146,0.175,0.359,3.556,0
2replicas_scenario0_6500rps,2,Baseline0,0,6500,6499.971376479361,0.109,0.095,0.0,0.146,0.174,0.482,3.062,0
2replicas_scenario1_6500rps,2,Baseline1,1,6500,6500.0048467257875,0.105,0.093,0.0,0.143,0.169,0.401,4.965,0
2replicas_scenario0_7000rps,2,Baseline0,0,7000,7000.011268706082,0.112,0.097,0.0,0.156,0.183,0.49,4.827,0
2replicas_scenario1_7000rps,2,Baseline1,1,7000,6999.971108293486,0.111,0.096,0.0,0.155,0.182,0.475,4.468,0
3replicas_scenario0_100rps,3,Baseline0,0,100,100.00540546050757,0.299,0.309,0.0,0.505,0.554,0.608,2.125,0
3replicas_scenario1_100rps,3,Baseline1,1,100,100.00507965968299,0.303,0.313,0.0,0.506,0.554,0.608,1.079,0
3replicas_scenario0_500rps,3,Baseline0,0,500,500.0051245719664,0.087,0.083,0.0,0.101,0.109,0.156,2.818,0
3replicas_scenario1_500rps,3,Baseline1,1,500,500.00500057778885,0.087,0.084,0.0,0.101,0.11,0.159,2.763,0
3replicas_scenario0_1000rps,3,Baseline0,0,1000,1000.0029229085434,0.087,0.084,0.0,0.1,0.107,0.141,3.616,0
3replicas_scenario1_1000rps,3,Baseline1,1,1000,999.9997972333746,0.088,0.084,0.0,0.101,0.109,0.142,3.741,0
3replicas_scenario0_1500rps,3,Baseline0,0,1500,1500.0052780435717,0.085,0.083,0.0,0.101,0.108,0.135,5.167,0
3replicas_scenario1_1500rps,3,Baseline1,1,1500,1500.0028901722353,0.085,0.083,0.0,0.101,0.108,0.136,2.773,0
3replicas_scenario0_2000rps,3,Baseline0,0,2000,2000.0109368153621,0.085,0.082,0.0,0.103,0.112,0.145,3.145,0
3replicas_scenario1_2000rps,3,Baseline1,1,2000,2000.0022148580083,0.085,0.083,0.0,0.102,0.111,0.144,2.478,0
3replicas_scenario0_2500rps,3,Baseline0,0,2500,2500.0035075326987,0.089,0.086,0.0,0.109,0.119,0.153,2.948,0
3replicas_scenario1_2500rps,3,Baseline1,1,2500,2500.0038381255326,0.09,0.086,0.0,0.11,0.124,0.186,3.999,0
3replicas_scenario0_3000rps,3,Baseline0,0,3000,3000.00519223826,0.091,0.085,0.0,0.115,0.131,0.209,3.751,0
3replicas_scenario1_3000rps,3,Baseline1,1,3000,3000.0032965364067,0.09,0.084,0.0,0.113,0.125,0.171,3.689,0
3replicas_scenario0_3500rps,3,Baseline0,0,3500,3500.0052081076833,0.092,0.085,0.0,0.119,0.134,0.197,5.768,0
3replicas_scenario1_3500rps,3,Baseline1,1,3500,3500.0039052466673,0.09,0.084,0.0,0.117,0.131,0.195,3.752,0
3replicas_scenario0_4000rps,3,Baseline0,0,4000,4000.0027453390303,0.098,0.088,0.0,0.132,0.154,0.264,3.263,0
3replicas_scenario1_4000rps,3,Baseline1,1,4000,4000.002376515824,0.101,0.089,0.0,0.138,0.165,0.297,5.423,0
3replicas_scenario0_4500rps,3,Baseline0,0,4500,4500.005712083746,0.097,0.087,0.0,0.132,0.152,0.246,3.478,0
3replicas_scenario1_4500rps,3,Baseline1,1,4500,4499.985500720174,0.098,0.087,0.0,0.133,0.155,0.265,3.924,0
3replicas_scenario0_5000rps,3,Baseline0,0,5000,4999.998996495741,0.096,0.084,0.0,0.13,0.151,0.285,3.469,0
3replicas_scenario1_5000rps,3,Baseline1,1,5000,5000.000890807693,0.096,0.085,0.0,0.132,0.153,0.271,3.964,0
3replicas_scenario0_5500rps,3,Baseline0,0,5500,5499.97992926408,0.101,0.088,0.0,0.14,0.161,0.328,4.962,0
