Test_ID,Minute,RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Min_Latency,Errors
FinalTest,1,500,500.0239079764614,0.128,0.098,0.0,0.185,0.235,0.647,3.96,0.063,0
FinalTest,2,650,650.0162310677938,0.184,0.103,0.0,0.302,0.488,1.722,6.504,0.064,0
FinalTest,3,800,800.0144505676856,0.177,0.101,0.0,0.373,0.521,0.898,4.6,0.064,0
FinalTest,4,950,950.0144470212455,0.185,0.123,0.0,0.361,0.545,0.865,5.004,0.052,0
FinalTest,5,1100,1099.9680971334542,0.155,0.117,0.0,0.253,0.356,0.65,9.016,0.057,1
FinalTest,6,1300,1300.0158030661687,0.133,0.095,0.0,0.147,0.186,1.359,4.139,0.054,0
FinalTest,7,1500,1500.0038257105984,0.159,0.098,0.0,0.263,0.375,1.264,6.176,0.054,0
FinalTest,8,1700,1700.0098200471175,0.191,0.13,0.0,0.345,0.466,0.906,10.699,0.058,0
FinalTest,9,1900,1900.0040255701956,0.16,0.126,0.0,0.235,0.32,0.682,16.325,0.055,0
FinalTest,10,2100,2099.9993127181037,0.21,0.137,0.0,0.306,0.472,1.903,9.975,0.05,0
FinalTest,11,2300,2299.996302806068,0.441,0.185,0.0,0.625,1.64,5.726,34.219,0.053,0
FinalTest,12,2500,2500.0016089700953,0.385,0.203,0.0,0.53,1.096,3.968,37.773,0.049,0
FinalTest,13,2700,2699.9998663050064,0.384,0.221,0.0,0.566,0.957,3.508,47.988,0.054,0
FinalTest,14,2900,2899.983355566539,0.214,0.142,0.0,0.4,0.561,1.2,15.303,0.049,0
FinalTest,15,3100,3100.014566231735,0.442,0.191,0.0,0.698,1.427,5.299,28.543,0.044,0
FinalTest,16,3300,3299.9962910791687,0.304,0.166,0.0,0.483,0.731,2.546,42.052,0.042,0
FinalTest,17,3500,3499.9980655769473,0.375,0.199,0.0,0.554,0.842,3.561,62.504,0.047,0
FinalTest,18,3700,3699.85552389915,0.434,0.178,0.0,0.411,0.865,3.475,120.406,0.047,0
FinalTest,19,3900,3900.022340549169,1.0,0.222,0.0,0.747,2.211,13.795,215.131,0.045,0
FinalTest,20,4000,3999.8844274060193,3.027,0.309,0.0,6.519,11.107,39.29,275.639,0.053,0
FinalTest,21,3800,3799.976137957834,2.025,0.458,0.0,4.063,8.461,24.268,234.712,0.053,0
FinalTest,22,3600,3599.9457463576396,1.173,0.381,0.0,2.197,4.78,13.178,117.614,0.049,0
FinalTest,23,3400,3399.967274551236,0.885,0.275,0.0,1.954,3.714,8.863,104.421,0.049,0
FinalTest,24,3200,3199.983019966558,0.94,0.284,0.0,2.258,4.289,10.268,72.229,0.053,0
FinalTest,25,3000,3000.0057807956905,0.479,0.201,0.0,0.94,1.897,4.645,29.849,0.05,0
FinalTest,26,2800,2800.0056270248024,0.418,0.215,0.0,0.646,1.133,3.448,75.772,0.054,0
FinalTest,27,2600,2600.009036288072,0.259,0.15,0.0,0.391,0.578,1.727,57.639,0.05,0
FinalTest,28,2400,2400.005229451395,0.176,0.126,0.0,0.27,0.359,1.196,12.15,0.047,0
FinalTest,29,2200,2199.9866744454775,0.153,0.109,0.0,0.233,0.295,0.893,15.905,0.053,1
FinalTest,30,2000,2000.006321119978,0.102,0.094,0.0,0.13,0.145,0.242,3.919,0.047,0
