Test_ID,Minute,RPS,Throughput,Avg_Latency,P50_Latency,P75_Latency,P90_Latency,P95_Latency,P99_Latency,Max_Latency,Min_Latency,Errors
FinalTest,1,500,500.01680746496277,0.171,0.129,0.0,0.293,0.403,0.728,3.321,0.065,0
FinalTest,2,650,649.9974446370236,0.187,0.135,0.0,0.276,0.401,1.195,4.598,0.067,1
FinalTest,3,800,800.0157957785437,0.219,0.126,0.0,0.343,0.578,2.277,4.818,0.063,0
FinalTest,4,950,950.0115293399201,0.191,0.137,0.0,0.356,0.444,0.715,8.928,0.054,0
FinalTest,5,1100,1099.968417706391,0.239,0.156,0.0,0.408,0.554,1.817,5.136,0.056,1
FinalTest,6,1300,1300.0154501772092,0.221,0.133,0.0,0.408,0.593,1.486,11.403,0.057,0
FinalTest,7,1500,1500.0016950269155,0.278,0.128,0.0,0.586,0.859,2.241,16.089,0.057,0
FinalTest,8,1700,1700.0103521078624,0.301,0.183,0.0,0.543,0.798,2.176,27.347,0.055,0
FinalTest,9,1900,1900.005507925967,0.319,0.18,0.0,0.577,0.999,2.74,16.276,0.054,0
FinalTest,10,2100,2100.01510908546,0.347,0.186,0.0,0.694,1.091,2.719,17.142,0.049,0
FinalTest,11,2300,2300.0126808736945,0.267,0.148,0.0,0.435,0.689,2.286,41.216,0.051,0
FinalTest,12,2500,2500.0350424911835,0.3,0.182,0.0,0.532,0.796,2.443,15.935,0.052,0
FinalTest,13,2700,2699.696456839189,0.582,0.241,0.0,0.705,1.403,7.079,96.053,0.053,0
FinalTest,14,2900,2900.0163665149726,0.298,0.169,0.0,0.494,0.766,2.51,30.903,0.05,0
FinalTest,15,3100,3100.011502822506,0.379,0.18,0.0,0.631,1.14,3.393,55.31,0.049,0
FinalTest,16,3300,3299.9919102847834,0.498,0.207,0.0,0.631,1.149,5.894,87.874,0.048,0
FinalTest,17,3500,3499.998325060207,0.36,0.182,0.0,0.588,1.146,3.197,59.191,0.05,0
FinalTest,18,3700,3700.0062689090496,0.265,0.176,0.0,0.425,0.689,1.753,24.078,0.045,0
FinalTest,19,3900,3899.873293522185,0.313,0.18,0.0,0.435,0.759,2.693,50.69,0.045,0
FinalTest,20,4000,4000.040707080929,0.849,0.227,0.0,0.68,1.208,10.585,195.169,0.047,0
